IUCA,Texto,Etiqueta
16,¿Cómo es la categorización cuando estoy inscripto en más de una actividad?,manera
16,Si estoy inscripto en varias actividades ¿La categorización es una sola o por actividad?,manera
16,Para categorizarme ¿Se considera solo la actividad principal o todas las actividades que realizo?,manera
16,¿Debo tomar sólo una actividad como referencia para la categorización?,si_no
16,Si realizo varias actividades ¿cómo me categorizo?,manera
16,"En caso de realizar más de una actividad, ¿en base a cuál determino la categorización?",manera
17,¿Qué ingresos tengo que tener en cuenta si además de mi actividad soy empleado?,manera
17,¿Cuáles son los ingresos que debo considerar si soy empleado en relación de dependencia?,manera
17,¿Debo considerar mis ingresos por la actividad que estoy inscripto en Monotributo y los que recibo por estar en relación de dependencia?,si_no
17,"Si a su vez soy empleado, ¿qué ingresos debo declarar para categorizarme en el monotributo?",manera
17,¿Cuáles ingresos brutos debo computar si también estoy en relación de dependencia?,manera
17,"En caso de también ser empleado, ¿qué ingresos debo considerar para determinar mi categoría?",manera
17,En caso de estar en relación de dependencia e inscribirse al monotributo ¿qué ingresos brutos tengo en cuenta?,manera
18,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
18,¿Es obligatorio tener en cuenta el parámetro de energía eléctrica?,si_no
18,¿Cuándo debo considerar el parámetro de energía eléctrica?,razon
18,"¿En qué caso no debo considerar declarar la ""energía eléctrica""?",razon
18,¿Qué actividades no consideran el parámetro de la energía electrica?,razon
18,¿Cuándo tengo que tener en cuenta el parámetro de la electricidad?,razon
18,¿El parámetro de la energía eléctrica se considera en la categorización de todas las actividades?,si_no
19,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
19,¿es obligatorio tener en cuenta el parámetro de superficie afectada?,si_no
19,¿Cuándo debo considerar el parámetro de superficie?,razon
19,"¿En qué caso no se considera la ""superficie afectada""?",razon
19,¿Qué actividades no consideran el parámetro de la superficie afectada?,razon
19,¿Cuándo hay que tener en cuenta la superficie afectada?,razon
19,El parámetro de superficie afectada ¿se tiene en cuenta en todas las actividades?,si_no
20,¿Cómo determino mi actividad principal?,manera
20,¿Cómo sé cuál es mi actividad principal?,manera
20,Si realizo más de una actividad ¿Se consideran todas por igual?,si_no
20,Si realizo más de una actividad ¿Hay una que se considere más importante?,si_no
20,Si realizo varias actividades ¿debo declarar cuál es la principal?,si_no
20,¿En qué me baso para saber cuál es mi actividad principal?,manera
20,¿Hay que establecer una actividad principal si se realizan varias?,si_no
21,¿Cómo se consideran los parámetros físicos si mi actividad la realizo en el mismo lugar que vivo?,manera
21,¿Debo tener en cuenta los parámetros si realizo la actividad en mi casa?,si_no
21,¿Cómo se calculan los valores de los parámetros si trabajo en mi casa?,manera
21,¿Cómo son los parámetros a tener en cuenta si trabajo en el mismo lugar en que vivo?,manera
21,"Si trabajo en mi casa, ¿cómo computo los parámetros de luz y superficie?",manera
21,En caso de que trabaje en mi casa ¿de qué forma calculo los gastos de espacio físico y luz para la categorización?,manera
21,Si trabajo desde mi hogar ¿cómo calculo la superficie y el consumo de la luz para la categorización?,manera
22,¿Cómo determino los parámetros físicos si no tengo local?,manera
22,"No tengo local, ¿Qué parámetros tengo que tener en cuenta?",manera
22,En caso de no tener un espacio físico ¿Cómo considero este parámetro?,manera
22,"Si voy a domicilio, ¿qué pasa con los parámetros físicos?",manera
22,Si presto servicios a domicilio ¿qué debo considerar para categorizarme?,manera
22,¿Qué pasa con los parámetros físicos si trabajo a domicilio?,manera
22,"Si mi actividad es primaria, ¿qué tengo que tener en cuenta para la categorización?",manera
23,¿Cuántos empleados puedo tener?,cantidad
23,¿Hay un límite de empleados que puedo tener siendo Monotributista?,si_no
23,¿Debo tener cierta cantidad de empleados de acuerdo a la categoría de monotributista que soy?,si_no
23,¿Hasta cuántos empleados puedo contratar?,si_no
23,¿Cuál es la cantidad máxima de empleados que se pueden tener por categoría?,cantidad
23,¿Existe un límite en la cantidad de empleados según la categoría?,si_no
23,¿Qué cantidad de empleados puedo tener?,cantidad
24,"Para calcular los alquileres devengados ¿Hay que tener en cuenta gastos como luz, gas o teléfono?",si_no
24,¿Cómo se calculan los alquileres devengados?,manera
24,¿Qué debo tener en cuenta para determinar los alquileres devengados?,manera
24,¿Hay que tener en cuenta los servicios como la luz y el gas para computar los alquileres devengados?,si_no
24,"¿Se deben evaluar los gastos de luz, gas y teléfono en los alquileres devengados?",si_no
24,¿Tengo que tener en cuenta la luz y el gas para determinar los alquileres devengados?,si_no
24,"¿Se consideran los gastos por servicio (como luz, gas, etc) para establecer los alquileres devengados?",si_no
25,"¿Qué debo hacer en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",manera
25,"¿Cómo son los aportes que debo pagar en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",manera
25,"¿Es el mismo aporte el que realizo si soy monotributista por una actividad y el que realizo por ejercer la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
25,¿Cómo tengo que hacer si soy monotributista y a la vez administro una sociedad que no está adherida al régimen simplificado?,manera
25,¿Qué tendría que hacer si estoy también dirigiendo una sociedad que no está adherida al monotributo?,manera
25,¿Cómo debería hacer si aparte de mi actividad monotributista también ejerzo la dirección de una sociedad no comprendida en el regimen simplificado?,manera
25,"En el caso de ejercer también una administración de una sociedad no inscripta al régimen simplificado, ¿qué debo hacer?",manera
25,"¿Debo hacer algo en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
25,"¿Debo pagar aportes en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
26,Si fabrico y vendo un objeto por única vez ¿Debo categorizarme por esa actividad?,si_no
26,"Si estoy inscripta por brindar servicios, pero por única vez vendo un objeto  ¿Debo inscribirme en venta de cosas muebles?",si_no
26,¿Estar inscripto en servicios permite al menos una vez vende un bien mueble?,si_no
26,"Si no fabrico en serie, ¿debo categorizarme como venta de cosa mueble?",si_no
26,Si fabrico bienes personalizados ¿se considera como venta de cosa mueble?,si_no
26,¿Cómo debo categorizarme si no fabrico bienes en serie?,manera
26,¿Debo cambiar de categoría si brindo servicios pero de vez en cuando vendo algún objeto?,si_no
27,¿Hay un precio máximo unitario para venta de productos?,si_no
27,¿Existe un límite en el precio de los bienes que vendo para ser Monotributista?,si_no
27,¿Los precios máximos rigen para quienes están inscriptos solamente en venta de bienes o para todos los Monotributistas?,manera
27,Si soy monotributista ¿tengo un tope en el precio máximo por unidad de venta?,si_no
27,¿Hay un tope máximo en el precio por unidad?,si_no
27,Cuando se vende ¿existe un precio máximo unitario a tener en cuenta?,si_no
27,¿Hay un límite superior para la venta de productos por unidad?,si_no
27,Si soy monotributista ¿Cuál es el precio máximo por unidad de venta?,cantidad
27,¿Cual es el tope máximo en el precio por unidad?,cantidad
27,¿Cual es el límite en el precio de los bienes que vendo para ser Monotributista?,cantidad
28,¿Existe algún impedimento para realizar importaciones si soy Monotributista?,si_no
28,¿Puedo vender bienes del exterior en Argentina?,si_no
28,Antes de inscribirme en el monotributo ¿Puedo haber realizado importaciones?,si_no
28,¿Cuánto tiempo debe transcurrir desde que dejé de importar bienes hasta que me puedo inscribir en el Monotributo?,temporal
28,Si soy monotributista ¿puedo importar bienes?,si_no
28,¿Es posible hacer importaciones siendo monotributista?,si_no
28,¿Puedo traer productos del extranjero para vender?,si_no
29,¿Se aplica  la alícuota del 27% en las facturas de servicios públicos a los Monotributistas?,si_no
29,¿Existe una alícuota diferencial en los servicios públicos para los Monotributistas?,si_no
29,"Si soy monotributista, ¿se me aplica la alicuota del 27 porciento en los servicios públicos?",si_no
29,¿Es aplicable la alicuota del veintisiete porciento en los servicios públicos para los monotributistas?,si_no
29,¿Resulta aplicable la alícuota del 27% para las prestaciones de servicios públicos recibidas por los monotributistas?,si_no
29,La alícuota del 27% en los servicios públicos ¿se aplica para los monotributistas?,si_no
29,¿Siendo monotributista se me imputa la alicuota del 27% en las facturas de los servicios públicos?,si_no
30,¿Qué es una unidad de explotación?,definicion
30,¿Qué es una actividad económica?,definicion
30,¿Qué diferencia hay entre unidad de explotación y actividad económica?,definicion
30,¿Es lo mismo unidad de explotación que actividad económica?,si_no
30,¿Se debe contabilizar de la misma forma las unidades económicas y las actividades económicas?,si_no
30,¿Cuál es la diferencia entre unidad de explotación y actividad económica?,definicion
30,¿Se computan de la misma forma tanto las unidades como las actividades económicas?,si_no
31,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar las cargas de familias?,si_no
31,¿Qué puedo hacer con las cargas de familias cuando cambio de Responsable Inscripto a Monotributista?,manera
31,Al pasar de responsable inscripto a monotributista ¿qué sucede con las cargas familiares?,manera
31,Cuando paso a ser monotributista habiendo sido responsable inscripto ¿qué ocurre con las cargas de familia?,manera
31,¿Se computan las cargas de familia si dejo de ser responsable inscripto y ahora soy monotributista?,si_no
31,Si antes era responsable inscripto y ahora soy monotributista ¿debo calcular las cargas de familias?,si_no
31,¿Son computables las cargas de familias al pasar a ser monotributista?,si_no
32,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar el crédito fiscal?,si_no
32,¿Qué puedo hacer con el crédito fiscal cuando cambio de Responsable Inscripto a Monotributista?,manera
32,¿Cómo se reintegra el crédito fiscal por los bienes que tengo en existencia si paso de Responsable Inscripto a Monotributista?,manera
32,¿Qué pasa con el crédito fiscal si dejo de ser monotributista y paso a ser responsable inscripto?,manera
32,¿Qué ocurre con el crédito fiscal si siendo responsable inscripto paso a ser monotributista?,manera
32,Al pasar de responsable inscripto a monotributista ¿cómo sucede con el crédito fiscal?,manera
32,"Si estoy en condiciones para optar por el monotributo siendo responsable inscripto, ¿debo devolver el crédito fiscal?",si_no
32,Al pasar de responsable inscripto a monotributista ¿se reintegra el crédito fiscal?,si_no
33,¿Es lo mismo a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,si_no
33,Si soy Monotributista ¿Puedo tomar el crédito fiscal?,si_no
33,¿Estoy obligado a pagar IVA siendo Monotributista?,si_no
33,"En cuanto al pago del iva, ¿me corresponde pagar si soy monotributista?",si_no
33,¿Pago el IVA si soy monotributista?,si_no
33,En caso de ser monotributista ¿tengo que pagar el impuesto al valor agregado?,si_no
33,Si ahora soy monotributista ¿comienzo a pagar iva?,si_no
33,"En cuanto al pago del iva, ¿Que me corresponde pagar si soy monotributista?",definicion
33,¿Qué diferencia hay a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,definicion
33,¿Qué conceptos debo pagar siendo Monotributista?,definicion
34,Si realizo actividades para las que debo pagar Impuesto a las Ganancias y para otras Monotributo ¿Qué pasa cuando adiciono otra actividad al Monotributo?,manera
34,¿Cómo influye la adición de una nueva actividad al Monotributo cuando a su vez pago anticipo por Ganancias por otra actividad?,manera
34,"Si agrego otra actividad al monotributo, ¿cómo se fijan los anticipos desarrollando otra actividad por las que pago impuesto a las ganancias?",manera
34,¿De qué manera interviene sumar una actividad en el monotributo al pago de anticipos del impuesto a las ganancias de otra actividad?,manera
34,"Si agrego una actividad nueva al monotributo, ¿se verán modificados los anticipos por ganancias que pago por otra actividad?",si_no
34,"Si agrego una actividad nueva al monotributo, ¿De qué forma se verán modificados los anticipos por ganancias que pago por otra actividad?",manera
34,¿Qué sucede si agrego una actividad al monotributo con respecto al impuesto a las ganancias que pago por otras actividades. Influye además si pago aniticipo por ganancias?,manera
34,¿Cómo determino los anticipos del impuesto a las ganancias pagados por cierta actividad cuando adiciono otra actividad al monotributo?,manera
35,¿Puedo delegar el trámite de solicitud de CUIT?,si_no
35,Para generar el CUIT ¿Puede hacerlo otra persona en mi nombre?,si_no
35,¿Puede un tercero generar mi CUIT?,si_no
35,¿La solicitud del CUIT es un trámite personal?,si_no
35,¿Es necesario que vaya el titular para sacar el CUIT?,si_no
35,¿Puede ir otra persona a sacarme el CUIT?,si_no
35,¿Para obtener el cuit es necesario que vaya yo o puede enviar a alguien?,manera
35,¿Para sacar el CUIT tengo que ir personalmente?,si_no
35,¿Para sacar el CUIT puede ir alguien más a sacármelo?,si_no
35,¿Tengo que ir yo necesariamente a hacer el trámite para obtener el CUIT?,si_no
35,¿Puede ir otra persona en mi nombre a hacer el trámite para obtener el CUIT?,si_no
36,¿Dónde debo solitar la CUIT?,ubicacion
36,Si quiero solicitar el CUIT de manera personal ¿Dónde debo hacerlo?,ubicacion
36,¿A qué lugar debo concurrir para solicitar el CUIT?,ubicacion
36,Para solicitar el CUIT ¿Debo tener en cuenta el domicilio real o fiscal?,manera
36,¿A dónde debo ir para tramitar el CUIT?,ubicacion
36,"Si quiero obtener el CUIT, ¿a dónde debo dirigirme?",ubicacion
36,"Para solicitar el CUIT personalmente, ¿a dónde tengo que ir?",ubicacion
36,"Si envío un tercero, ¿a dónde debe ir para obtener mi CUIT?",ubicacion
36,¿En qué lugar debo tramitar mi CUIT?,ubicacion
37,¿Qué debo realizar para solicitar el CUIT en forma presencial?,manera
37,¿Necesito llevar documentación personal para sacar mi CUIT?,si_no
37,¿Debo realizar algún trámite previo a la solicitud de CUIT de manera personal?,si_no
37,¿Es necesario concurrir con el DNI para la solicitud de CUIT de forma presencial?,si_no
37,"Para obtener el CUIT, ¿debo presentar algo?",si_no
37,"Para ir a tramitar mi CUIT, ¿qué debo llevar?",manera
37,¿Debo llevar algo más que mi DNI para tramitar el CUIT?,si_no
37,¿Qué necesito presentar para obtener mi CUIT?,manera
37,¿Que cosas son necesarias presentar a la hora de tramitar in CUIT?,manera
38,"Una sociedad, con o sin fines de lucro ¿Puede inscribirse en el monotributo?",si_no
38,¿Pueden adherirse al Monotributo las SA?,si_no
38,¿Pueden adherirse al Monotributo las SRL?,si_no
38,¿Cualquier tipo de sociedad se puede inscribir en el Monotributo?,si_no
38,¿Puedo anotar a una sociedad al monotributo?,si_no
38,"Si tengo una SA, ¿la puedo inscribir en el monotributo?",si_no
38,¿Puedo inscribir mi SRL al monotributo?,si_no
38,"¿Si una sociedad con fines de lucro quiere sumarse al monotributo, puede?",si_no
38,¿Es permitido que una sociedad se inscriba en el monotributo?,si_no
39,Si soy extranjero y no poseo DNI ¿Puedo inscribirme en el Monotributo?,si_no
39,¿Qué documentación debo presentar si soy extranjero y no tengo DNI?,manera
39,¿El pasaporte es suficiente para inscribirme en el Monotributo en caso de ser extranjero?,si_no
39,¿Puedo inscribirme en el monotributo siendo extranjero?,si_no
39,¿Qué debería presentar para inscribirme en el monotributo si no poseo DNI?,manera
39,"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿puedo inscribirme en el monotributo?",si_no
39,"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿cómo debo proceder para inscribirme en el monotributo?",manera
39,¿Qué necesito para tramitar el monotributo siendo extranjero sin DNI?,manera
39,¿Un extranjero puede solicitar el CUIT para monotributo?,si_no
39,¿Un extranjero puede solicitar el CUIT para monotributo si no tiene DNI?,si_no
39,¿Puede alguien nacido en el exterior solicitar el monotributo sin tener DNI?,si_no
40,¿Puedo ser Monotributista y a su vez ser sujeto IVA exento?,si_no
40,¿Existe un Monotributista que también esté exento en IVA?,si_no
40,Un sujeto IVA exento ¿Puede ser Monotributista?,si_no
40,¿Si soy monotributista puedo realizar otra actividad bajo la condición de IVA exento?,si_no
40,¿Un monotributista puede ser además IVA exento?,si_no
40,"Si quiero realizar una actividad IVA exento, ¿es necesario que no sea monotributista?",si_no
40,¿Es compatible ser un sujeto monotributista y al mismo tiempo un sujeto IVA exento?,si_no
40,¿Se puede tener un monotributo y ser IVA exento a la vez?,si_no
41,¿Cuál es mi domicilio Fiscal?,definicion
41,¿Qué significa domicilio fiscal?,definicion
41,¿Es lo mismo domicilio fiscal que real?,si_no
41,¿Cómo sé cuál es mi domicilio fiscal?,definicion
41,¿Domicilio fiscal es el lugar donde vivo?,si_no
41,¿Domicilio fiscal es el lugar donde realizado mi actividad comercial?,si_no
41,¿Qué sucede con mi domicilio fiscal si no tengo un local fijo donde poner mi comercio?,manera
41,¿Puede ser el domicilio fiscal igual que el domicilio real?,si_no
41,¿Qué diferencia hay entre domicilio fiscal y real?,definicion
41,"Si no tengo lugar fijo para mi comercio, ¿puedo poner como domicilio fiscal el domicilio donde vivo?",si_no
41,¿Debo tener sí o sí un domicilio fiscal?,si_no
42,¿Cómo puedo demostrar que mi domicilio fiscal es diferente al de mi DNI?,manera
42,¿Qué documentación puedo presentar para demostrar mi domicilio fiscal?,manera
42,Si mi domicilio fiscal no es el que figura en el DNI ¿Qué debo hacer?,manera
42,¿Que necesito presentar para dar constancia de mi domicilio fiscal?,manera
42,"Si mi local es alquilado, ¿debo presentar el contrato de alquiler para mostrar que será el domicilio fiscal?",si_no
42,"Si mi domicilio fiscal no es el lugar donde vivo, ¿qué tramites debo hacer para acreditarlo?",manera
42,¿Cómo debo proceder cuando el domicilio fiscal que declaro no es el que tengo en el DNI?,manera
42,¿Debo hacer algún trámite para demostrar mi domicilio fiscal cuando no es el lugar donde vivo?,si_no
43,¿Qué debo realizar para adherirme al Monotributo?,procedimiento
43,"Quiero inscribirme en el Monotributo, cumplo con todos los requisitos ¿Cómo debo hacer?",procedimiento
43,¿Cuál es el trámite para inscribirme en el Monotributo?,procedimiento
43,¿Cuál es el paso a paso para adherirme al Monotributo?,procedimiento
43,¿Por dónde debo comenzar para ser Monotributista?,procedimiento
43,¿La inscripción al Monotributo es online?,si_no
43,¿Qué pasos debo seguir para adherirme al Monotributo?,procedimiento
43,¿Cómo me inscribo al monotributo?,procedimiento
43,¿Qué debo hacer para ser monotributista?,procedimiento
43,¿Cómo puedo inscribirme de manera online al monotributo?,procedimiento
43,¿Qué debo hacer para realizar la inscripción al monotributo?,procedimiento
43,"¿Para ser monostributista, debo hacer una inscripción online?",si_no
44,¿En qué casos no es obligatorio constituir domicilio fiscal electrónico?,razon
44,¿Todo monotributista debe inscribirse en el domicilio fiscal electrónico?,si_no
44,¿Los monotributistas sociales deben adherirse al domicilio fiscal electrónico?,si_no
44,"Si soy monotributista, ¿sí o sí debo inscribirme al domicilio fiscal electrónico?",si_no
44,¿Es obligatorio para todo monotributista estar inscripto en el domicilio fiscal electrónico?,si_no
44,¿Cuándo puedo exceptuarme del domicilio fiscal electrónico siendo monotributista?,razon
44,¿Quienes no necesitan constituir el domicilio fiscal electrónico?,razon
44,¿Existe algún tipo de monotributo que no tenga que estar adherido al domicilio fiscal electrónico?,si_no
45,¿Cómo debe hacer un condómino para inscribirse en el Monotributo?,procedimiento
45,¿Qué trámite debe realizar un condómino para ser Monotributista?,procedimiento
45,¿Cómo es la inscripción en el Monotributo en el caso de un condómino?,procedimiento
45,¿Qué debe hacer un condómino para adherirse al monotributo?,procedimiento
45,¿Es posible que un condómino se inscriba en el monotributo?,si_no
45,¿Cómo es posible que un condómino se inscriba en el monotributo?,procedimiento
45,¿Cómo un condómino puede ser monotributista?,procedimiento
45,¿Qué pasos se deben seguir para adherir un condómino al monotributo?,procedimiento
45,¿Qué requisitos se necesitan seguir para hacer que un condómino sea monotributista?,procedimiento
46,¿Cómo tengo que hacer para inscribir mi actividad?,procedimiento
46,¿Qué pasos debo seguir para declarar mi actividad económica?,procedimiento
